IP_Address,DateTime,Date,Time,Lat_Lng,gcl_wbr,bot_yn,Gbot_yn,UsrAgntSHORT
405,3480,7,2661,127,13,0,0,31
405,3480,7,2662,127,13,0,0,31
405,3480,7,2663,127,13,0,0,31
772,3483,7,2716,127,13,0,0,31
772,3484,7,2736,127,13,0,0,31
772,3485,7,2748,127,13,0,0,31
772,3486,7,2751,127,13,0,0,31
2914,3486,7,2753,127,10,0,0,47
3184,3487,7,2759,127,13,0,0,12
2258,3488,7,2766,127,4,0,0,45
366,3492,7,2823,127,4,0,0,45
366,3492,7,2823,127,4,0,0,45
366,3492,7,2824,127,4,0,0,45
2380,3494,7,2847,127,4,0,0,12
1245,3499,7,2882,127,13,0,0,31
2486,3500,7,2899,127,4,0,0,45
1152,3501,7,2916,127,13,0,0,31
1152,3501,7,2917,127,13,0,0,31
1152,3501,7,2919,127,13,0,0,31
2633,3503,7,2951,127,4,0,0,45
1736,3504,7,2969,127,13,0,0,12
2923,3505,7,2975,127,4,0,0,45
3852,3505,7,2979,127,13,0,0,16
2471,3506,7,3002,127,4,0,0,12
859,3507,7,3007,127,13,0,0,31
859,3507,7,3008,127,13,0,0,31
1575,3508,7,3012,127,13,0,0,31
1575,3508,7,3013,127,13,0,0,31
524,3510,7,3028,127,13,0,0,16
2150,3510,7,3034,127,4,0,0,12
2965,3511,7,3046,127,4,0,0,12
2483,3512,7,3053,127,4,0,0,45
2483,3512,7,3053,127,4,0,0,45
2704,3513,7,3068,127,4,0,0,45
1181,3513,7,3069,127,13,0,0,31
2162,3514,7,3075,127,4,0,0,45
860,3516,7,3093,127,13,0,0,31
2402,3517,7,3108,127,4,0,0,45
2402,3518,7,3118,127,4,0,0,45
2901,3521,7,3158,127,4,0,0,45
2901,3521,7,3159,127,4,0,0,45
2901,3521,7,3159,127,4,0,0,45
3003,3521,7,3160,127,4,0,0,45
3003,3521,7,3161,127,4,0,0,45
3852,3522,7,3176,127,13,0,0,16
2835,3523,7,3190,127,4,0,0,12
3007,3523,7,3193,127,13,0,0,12
3310,3525,7,3217,127,13,0,0,14
3718,3526,7,3224,127,13,0,0,31
42,3532,7,3291,127,13,0,0,31
424,3534,7,3356,127,10,0,0,47
2287,3536,7,3383,127,4,0,0,47
2209,3537,7,3384,127,4,0,0,45
2287,3537,7,3388,127,4,0,0,47
780,3539,7,3396,127,4,0,0,31
1234,3541,7,3403,127,4,0,0,31
2390,3543,7,3428,127,4,0,0,45
2390,3543,7,3428,127,4,0,0,45
3852,3544,7,3436,127,13,0,0,16
319,3546,7,3452,127,10,0,0,47
2919,3548,7,3467,127,10,0,0,47
948,3549,7,3481,127,4,0,0,12
2238,3551,7,3507,127,13,0,0,31
2699,3553,7,3568,127,4,0,0,12
337,3553,7,3569,127,4,0,0,12
2984,3556,7,3607,127,13,0,0,31
349,3562,7,3653,127,4,0,0,12
1261,3563,7,3660,127,13,0,0,31
1261,3563,7,3660,127,13,0,0,31
1261,3563,7,3662,127,13,0,0,31
1261,3563,7,3663,127,13,0,0,31
1261,3563,7,3665,127,13,0,0,31
2262,3564,7,3667,127,4,0,0,45
2262,3600,7,4005,127,4,0,0,45
1533,3605,7,4073,127,13,0,0,31
2531,3606,7,4082,127,4,0,0,45
3062,3610,7,4147,127,4,0,0,12
3395,3614,7,4182,127,13,0,0,31
3012,3614,7,4182,127,4,0,0,12
2403,3615,7,4192,127,4,0,0,12
253,3616,7,4200,127,4,0,0,16
253,3617,7,4204,127,13,0,0,16
2379,3623,7,4276,127,4,0,0,45
1997,3624,7,4295,127,4,0,0,45
896,3624,7,4306,127,4,0,0,31
1997,3625,7,4308,127,4,0,0,45
2343,3626,7,4318,127,4,0,0,45
4009,3627,7,4325,127,13,0,0,31
1152,3627,7,4328,127,13,0,0,31
2461,3627,7,4329,127,4,0,0,12
3996,3629,7,4343,127,13,0,0,31
3996,3630,7,4350,127,13,0,0,31
3996,3630,7,4351,127,13,0,0,31
2494,3631,7,4370,127,4,0,0,45
332,3632,7,4375,127,4,0,0,12
332,3632,7,4376,127,4,0,0,12
2701,3633,7,4382,127,4,0,0,45
2480,3634,7,4394,127,4,0,0,12
2706,3635,7,4400,127,4,0,0,45
2706,3635,7,4400,127,4,0,0,45
2706,3635,7,4401,127,4,0,0,45
2706,3635,7,4401,127,4,0,0,45
2706,3635,7,4402,127,4,0,0,45
2706,3635,7,4403,127,4,0,0,45
2706,3635,7,4404,127,4,0,0,45
2706,3635,7,4405,127,4,0,0,45
2706,3635,7,4406,127,4,0,0,45
2706,3635,7,4407,127,4,0,0,45
2842,3635,7,4410,127,4,0,0,12
798,3636,7,4427,127,13,0,0,31
1533,3638,7,4440,127,13,0,0,31
3056,3638,7,4441,127,4,0,0,31
3056,3638,7,4442,127,4,0,0,31
757,3639,7,4457,127,10,0,0,47
3034,3641,7,4494,127,4,0,0,45
638,3642,7,4540,127,13,0,0,12
2180,3645,7,4561,127,4,0,0,12
899,3645,7,4563,127,13,0,0,31
899,3645,7,4565,127,13,0,0,31
1258,3647,7,4583,127,13,0,0,31
2790,3651,7,4647,127,4,0,0,45
2790,3652,7,4649,127,4,0,0,45
2790,3652,7,4650,127,4,0,0,45
3991,3653,7,4671,127,13,0,0,31
